Time (h), Inlet temperature (degC)
1511,12.386
1512,12.373
1513,12.36
1514,12.346
1515,12.333
1516,12.319
1517,12.306
1518,12.292
1519,12.279
1520,12.266
1521,12.252
1522,12.239
1523,12.225
1524,12.212
1525,12.199
1526,12.185
1527,12.172
1528,12.158
1529,12.145
1530,12.131
1531,12.118
1532,12.105
1533,12.091
1534,12.078
1535,12.064
1536,12.051
1537,12.038
1538,12.024
1539,12.011
1540,11.997
1541,11.984
1542,11.97
1543,11.957
1544,11.944
1545,11.93
1546,11.917
1547,11.903
1548,11.89
1549,11.877
1550,11.863
1551,11.85
1552,11.836
1553,11.823
1554,11.809
1555,11.796
1556,11.783
1557,11.769
1558,11.756
1559,11.742
1560,11.729
1561,11.716
1562,11.702
1563,11.689
1564,11.675
1565,11.662
1566,11.648
1567,11.635
1568,11.622
1569,11.608
1570,11.595
1571,11.581
1572,11.568
1573,11.555
1574,11.541
1575,11.528
1576,11.514
1577,11.501
1578,11.487
1579,11.474
1580,11.461
1581,11.447
1582,11.434
1583,11.42
1584,11.407
1585,11.394
1586,11.38
1587,11.367
1588,11.353
1589,11.34
1590,11.326
1591,11.313
1592,11.3
1593,11.286
1594,11.273
1595,11.259
1596,11.246
1597,11.233
1598,11.219
1599,11.206
1600,11.192
1601,11.179
1602,11.165
1603,11.152
1604,11.139
1605,11.125
1606,11.112
1607,11.098
1608,11.085
1609,11.072
1610,11.058
1611,11.045
1612,11.031
1613,11.018
1614,11.004
1615,10.991
1616,10.978
1617,10.964
1618,10.951
1619,10.937
1620,10.924
1621,10.911
1622,10.897
1623,10.884
1624,10.87
1625,10.857
1626,10.843
1627,10.83
1628,10.817
1629,10.803
1630,10.79
1631,10.776
1632,10.763
1633,10.75
1634,10.736
1635,10.723
1636,10.709
1637,10.696
1638,10.682
1639,10.669
1640,10.656
1641,10.642
1642,10.629
1643,10.615
1644,10.602
1645,10.589
1646,10.575
1647,10.562
1648,10.548
1649,10.535
1650,10.521
1651,10.508
1652,10.495
1653,10.481
1654,10.468
1655,10.454
1656,10.441
1657,10.428
1658,10.414
1659,10.401
1660,10.387
1661,10.374
1662,10.36
1663,10.347
1664,10.334
1665,10.32
1666,10.307
1667,10.293
1668,10.28
1669,10.267
1670,10.253
1671,10.24
1672,10.226
1673,10.213
1674,10.199
1675,10.186
1676,10.173
1677,10.159
1678,10.146
1679,10.132
1680,10.119
1681,10.106
1682,10.092
1683,10.079
1684,10.065
1685,10.052
1686,10.038
1687,10.025
1688,10.012
1689,9.9982
1690,9.9848
1691,9.9714
1692,9.958
1693,9.9446
1694,9.9312
1695,9.9177
1696,9.9043
1697,9.8909
1698,9.8775
1699,9.8641
1700,9.8507
1701,9.8372
1702,9.8238
1703,9.8104
1704,9.797
1705,9.7836
1706,9.7702
1707,9.7567
1708,9.7433
1709,9.7299
1710,9.7165
1711,9.7031
1712,9.6897
1713,9.6762
1714,9.6628
1715,9.6494
1716,9.636
1717,9.6226
1718,9.6092
1719,9.5957
1720,9.5823
1721,9.5689
1722,9.5555
1723,9.5421
1724,9.5287
1725,9.5152
1726,9.5018
1727,9.4884
1728,9.475
1729,9.4616
1730,9.4482
1731,9.4347
1732,9.4213
1733,9.4079
1734,9.3945
1735,9.3811
1736,9.3677
1737,9.3542
1738,9.3408
1739,9.3274
1740,9.314
1741,9.3006
1742,9.2872
1743,9.2737
1744,9.2603
1745,9.2469
1746,9.2335
1747,9.2201
1748,9.2067
1749,9.1932
1750,9.1798
1751,9.1664
1752,9.153
1753,9.1396
1754,9.1262
1755,9.1128
1756,9.0993
1757,9.0859
1758,9.0725
1759,9.0591
1760,9.0457
1761,9.0323
1762,9.0188
1763,9.0054
1764,8.992
1765,8.9786
1766,8.9652
1767,8.9518
1768,8.9383
1769,8.9249
1770,8.9115
1771,8.8981
1772,8.8909
1773,8.8861
1774,8.8813
1775,8.8765
1776,8.8717
1777,8.8669
1778,8.8621
1779,8.8573
1780,8.8525
1781,8.8477
1782,8.8429
1783,8.8381
1784,8.8333
1785,8.8285
1786,8.8237
1787,8.8189
1788,8.8141
1789,8.8093
1790,8.8045
1791,8.7997
1792,8.7949
1793,8.7901
1794,8.7853
1795,8.7805
1796,8.7757
1797,8.7709
1798,8.7661
1799,8.7613
1800,8.7565
1801,8.7517
1802,8.7469
1803,8.7421
1804,8.7373
1805,8.7325
1806,8.7277
1807,8.7229
1808,8.7181
1809,8.7133
1810,8.7085
1811,8.7037
1812,8.6989
1813,8.6941
1814,8.6893
1815,8.6845
1816,8.6797
1817,8.6749
1818,8.6701
1819,8.6653
1820,8.6605
1821,8.6557
1822,8.6509
1823,8.6461
1824,8.6413
1825,8.6365
1826,8.6317
1827,8.6269
1828,8.6221
1829,8.6173
1830,8.6125
1831,8.6077
1832,8.6029
1833,8.5981
1834,8.5933
1835,8.5885
1836,8.5837
1837,8.5789
1838,8.5741
1839,8.5693
1840,8.5645
1841,8.5597
1842,8.5549
1843,8.55
1844,8.5452
1845,8.5404
1846,8.5356
1847,8.5308
1848,8.526
1849,8.5212
1850,8.5164
1851,8.5116
1852,8.5068
1853,8.502
1854,8.4972
1855,8.4924
1856,8.4876
1857,8.4828
1858,8.478
1859,8.4732
1860,8.4684
1861,8.4636
1862,8.4588
1863,8.454
1864,8.4492
1865,8.4444
1866,8.4396
1867,8.4348
1868,8.43
1869,8.4252
1870,8.4204
1871,8.4156
1872,8.4108
1873,8.406
1874,8.4012
1875,8.3964
1876,8.3916
1877,8.3868
1878,8.382
1879,8.3772
1880,8.3724
1881,8.3676
1882,8.3628
1883,8.358
1884,8.3532
1885,8.3484
1886,8.3436
1887,8.3388
1888,8.334
1889,8.3292
1890,8.3244
1891,8.3196
1892,8.3148
1893,8.31
1894,8.3052
1895,8.3004
1896,8.2956
1897,8.2908
1898,8.286
1899,8.2812
1900,8.2764
1901,8.2716
1902,8.2668
1903,8.262
1904,8.2572
1905,8.2524
1906,8.2476
1907,8.2428
1908,8.238
1909,8.2332
1910,8.2284
1911,8.2236
1912,8.2188
1913,8.214
1914,8.2092
1915,8.2044
1916,8.1996
1917,8.1948
1918,8.19
1919,8.1852
1920,8.1804
1921,8.1756
1922,8.1708
1923,8.166
1924,8.1612
1925,8.1564
1926,8.1516
1927,8.1468
1928,8.142
1929,8.1372
1930,8.1324
1931,8.1276
1932,8.1228
